"","store_number","Date","FC_Base_Units"
"133",2501,2022-10-09,25936.2378928076
"134",2501,2022-10-16,26947.7289704133
"135",2501,2022-10-23,29479.849895264
"136",2501,2022-10-30,23678.4668424216
"137",2501,2022-11-06,25313.1178416789
"138",2501,2022-11-13,27345.4686184793
"139",2501,2022-11-20,28785.8002431862
"140",2501,2022-11-27,25235.6890611244
"141",2501,2022-12-04,28190.8961621181
"142",2501,2022-12-11,26557.4640735617
"143",2501,2022-12-18,28675.1808101151
"144",2501,2022-12-25,27195.4929587055
"145",2228,2022-08-28,4473.14789570868
"146",2228,2022-09-04,3934.93172544241
"147",2228,2022-09-11,4473.2639015466
"148",2228,2022-09-18,4091.1125947088
"149",2228,2022-09-25,3551.41929593682
"150",2228,2022-10-02,4127.49932834506
"151",2228,2022-10-09,4400.58555565774
"152",2228,2022-10-16,3965.72549644113
"153",2228,2022-10-23,4552.01103125513
"154",2228,2022-10-30,5046.06074646115
"155",2228,2022-11-06,3963.34069214761
"156",2228,2022-11-13,4300.76350545883
"157",2228,2022-11-20,2285.43644367158
"158",2228,2022-11-27,5824.5017683357
"159",2228,2022-12-04,4515.79207140207
"160",2228,2022-12-11,4801.81872327626
"161",2228,2022-12-18,4176.46409225464
"162",2228,2022-12-25,3276.286925897
"163",2285,2022-08-28,14068.9496587316
"164",2285,2022-09-04,12913.9197259462
"165",2285,2022-09-11,12089.4088005543
"166",2285,2022-09-18,13507.2919190829
"167",2285,2022-09-25,14241.8792670375
"168",2285,2022-10-02,13101.7281195993
"169",2285,2022-10-09,13180.9938873528
"170",2285,2022-10-16,13624.4887939772
"171",2285,2022-10-23,14867.1095977962
"172",2285,2022-10-30,13704.1840225846
"173",2285,2022-11-06,13502.008357184
"174",2285,2022-11-13,12978.4853258004
"175",2285,2022-11-20,13286.2825988521
"176",2285,2022-11-27,14987.4788170594
"177",2285,2022-12-04,14389.1470021758
"178",2285,2022-12-11,14588.1078632271
"179",2285,2022-12-18,13190.4819483428
"180",2285,2022-12-25,14146.1125053952
